state_abbrev,state_name,state_region
AL,Alabama,South
AK,Alaska,West
AZ,Arizona,West
AR,Arkansas,South
CA,California,West
CO,Colorado,West
CT,Connecticut,Northeast
DE,Delaware,South
FL,Florida,South
GA,Georgia,South
HI,Hawaii,West
ID,Idaho,West
IL,Illinois,North Central
IN,Indiana,North Central
IA,Iowa,North Central
KS,Kansas,North Central
KY,Kentucky,South
LA,Louisiana,South
ME,Maine,Northeast
MD,Maryland,South
MA,Massachusetts,Northeast
MI,Michigan,North Central
MN,Minnesota,North Central
MS,Mississippi,South
MO,Missouri,North Central
MT,Montana,West
NE,Nebraska,North Central
NV,Nevada,West
NH,New Hampshire,Northeast
NJ,New Jersey,Northeast
NM,New Mexico,West
NY,New York,Northeast
NC,North Carolina,South
ND,North Dakota,North Central
OH,Ohio,North Central
OK,Oklahoma,South
OR,Oregon,West
PA,Pennsylvania,Northeast
RI,Rhode Island,Northeast
SC,South Carolina,South
SD,South Dakota,North Central
TN,Tennessee,South
TX,Texas,South
UT,Utah,West
VT,Vermont,Northeast
VA,Virginia,South
WA,Washington,West
WV,West Virginia,South
WI,Wisconsin,North Central
WY,Wyoming,West
